house,temp_c,r12_hex,ec40_hex
3,32.7,0x198,ec4013017230f298
3,32.7,0x198,ec4013017230f298
3,32.8,0x1D9,ec401301823003d9
3,32.8,0x1D9,ec401301823003d9
3,32.9,0x1AC,ec401301923013ac
3,32.9,0x1AC,ec401301923013ac
3,33.0,0x1E3,ec401301033092e3
3,33.0,0x1E3,ec401301033092e3
3,33.0,0x1E3,ec401301033092e3
3,33.0,0x1E3,ec401301033092e3
3,33.1,0x196,ec4013011330a296
3,33.1,0x196,ec4013011330a296
3,33.1,0x196,ec4013011330a296
3,33.1,0x196,ec4013011330a296
3,33.1,0x196,ec4013011330a296
3,33.1,0x196,ec4013011330a296
3,33.2,0x109,ec4013012330b209
3,33.2,0x109,ec4013012330b209
3,33.3,0x17C,ec4013013330c27c
3,33.3,0x17C,ec4013013330c27c
3,33.3,0x17C,ec4013013330c27c
3,33.3,0x17C,ec4013013330c27c
3,33.3,0x17C,ec4013013330c27c
3,33.3,0x17C,ec4013013330c27c
3,33.4,0x156,ec4013014330d256
3,33.4,0x156,ec4013014330d256
3,33.4,0x156,ec4013014330d256
3,33.4,0x156,ec4013014330d256
3,33.3,0x17C,ec4013013330c27c
3,33.3,0x17C,ec4013013330c27c
3,33.2,0x109,ec4013012330b209
3,33.2,0x109,ec4013012330b209
3,33.2,0x109,ec4013012330b209
3,33.2,0x109,ec4013012330b209
3,33.2,0x109,ec4013012330b209
3,33.2,0x109,ec4013012330b209
3,33.1,0x196,ec4013011330a296
3,33.1,0x196,ec4013011330a296
3,33.0,0x1E3,ec401301033092e3
3,33.0,0x1E3,ec401301033092e3
3,32.8,0x1D9,ec401301823003d9
3,32.8,0x1D9,ec401301823003d9
3,34.1,0x120,ec4013011430b220
3,34.1,0x120,ec4013011430b220
3,40.1,0x110,ec40130110408210
3,40.1,0x110,ec40130110408210
135,40.3,0x859,ec4017883040d359
135,40.3,0x859,ec4017883040d359
135,47.9,0x86E,ec4017889740a46e
135,47.9,0x86E,ec4017889740a46e
135,54.5,0x844,ec40178854504444
135,54.5,0x844,ec40178854504444
92,54.5,0x844,ec401c5854506444
92,54.5,0x844,ec401c5854506444
0,52.2,0x889,ec40100822500389
0,52.2,0x889,ec40100822500389
0,49.6,0x842,ec4010086940a342
0,49.6,0x842,ec4010086940a342
96,48.9,0x852,ec40106898402452
96,48.9,0x852,ec40106898402452
96,48.9,0x852,ec40106898402452
96,48.9,0x852,ec40106898402452
96,47.4,0x8C5,ec4010684740c3c5
96,47.4,0x8C5,ec4010684740c3c5
96,46.8,0x84A,ec4010688640f34a
96,46.8,0x84A,ec4010688640f34a
96,46.8,0x84A,ec4010688640f34a
96,46.8,0x84A,ec4010688640f34a
96,46.2,0x8CB,ec401068264093cb
96,46.2,0x8CB,ec401068264093cb
96,45.6,0x88D,ec4010686540c38d
96,45.6,0x88D,ec4010686540c38d
96,45.0,0x8D2,ec401068054063d2
96,45.0,0x8D2,ec401068054063d2
96,44.5,0x843,ec4010685440a343
96,44.5,0x843,ec4010685440a343
96,44.0,0x883,ec40106804405383
96,44.0,0x883,ec40106804405383
96,43.5,0x8F5,ec401068534093f5
96,43.5,0x8F5,ec401068534093f5
96,43.0,0x835,ec40106803404335
96,43.0,0x835,ec40106803404335
96,42.4,0x8D1,ec401068424073d1
96,42.4,0x8D1,ec401068424073d1
96,41.9,0x889,ec4010689140b389
96,41.9,0x889,ec4010689140b389
96,41.5,0x857,ec40106851407357
96,41.5,0x857,ec40106851407357
96,41.0,0x897,ec40106801402397
96,41.0,0x897,ec40106801402397
96,40.6,0x899,ec40106860407399
96,40.6,0x899,ec40106860407399
96,39.8,0x803,ec40106889301403
96,39.8,0x803,ec40106889301403
96,39.5,0x8A8,ec4010685930e3a8
96,39.5,0x8A8,ec4010685930e3a8
96,39.1,0x81D,ec4010681930a31d
96,39.1,0x81D,ec4010681930a31d
96,38.8,0x852,ec40106888300452
96,38.8,0x852,ec40106888300452
96,38.4,0x88C,ec4010684830c38c
96,38.4,0x88C,ec4010684830c38c
96,38.1,0x84C,ec4010681830934c
96,38.1,0x84C,ec4010681830934c
96,37.8,0x86E,ec4010688730f36e
96,37.8,0x86E,ec4010688730f36e
96,37.2,0x8EF,ec401068273093ef
96,37.2,0x8EF,ec401068273093ef
96,36.9,0x84A,ec4010689630f34a
96,36.9,0x84A,ec4010689630f34a
96,36.6,0x80B,ec4010686630c30b
96,36.6,0x80B,ec4010686630c30b
96,36.3,0x8CB,ec401068363093cb
96,36.3,0x8CB,ec401068363093cb
96,36.3,0x8CB,ec401068363093cb
96,36.3,0x8CB,ec401068363093cb
96,36.0,0x854,ec40106806306354
96,36.0,0x854,ec40106806306354
96,35.7,0x88D,ec4010687530c38d
96,35.7,0x88D,ec4010687530c38d
96,35.5,0x867,ec4010685530a367
96,35.5,0x867,ec4010685530a367
96,35.2,0x84D,ec4010682530734d
96,35.2,0x84D,ec4010682530734d
96,34.7,0x8DC,ec4010687430b3dc
96,34.7,0x8DC,ec4010687430b3dc
96,34.3,0x869,ec40106834307369
96,34.3,0x869,ec40106834307369
96,34.3,0x869,ec40106834307369
96,34.3,0x869,ec40106834307369
96,34.0,0x8F6,ec401068043043f6
96,34.0,0x8F6,ec401068043043f6
96,33.8,0x82B,ec4010688330b32b
96,33.8,0x82B,ec4010688330b32b
96,33.6,0x81F,ec4010686330931f
96,33.6,0x81F,ec4010686330931f
96,33.4,0x8F5,ec401068433073f5
96,33.4,0x8F5,ec401068433073f5
96,33.1,0x835,ec40106813304335
96,33.1,0x835,ec40106813304335
96,32.9,0x80F,ec4010689230b30f
96,32.9,0x80F,ec4010689230b30f
96,32.7,0x83B,ec4010687230933b
96,32.7,0x83B,ec4010687230933b
96,32.5,0x8D1,ec401068523073d1
96,32.5,0x8D1,ec401068523073d1
96,32.3,0x88E,ec4010683230538e
96,32.3,0x88E,ec4010683230538e
96,32.2,0x8FB,ec401068223043fb
96,32.2,0x8FB,ec401068223043fb
96,32.0,0x811,ec40106802302311
96,32.0,0x811,ec40106802302311
96,31.8,0x2F1,ec401062813033f1
96,31.8,0x2F1,ec401062813033f1
96,31.6,0x2C5,ec401062613013c5
96,31.6,0x2C5,ec401062613013c5
96,31.4,0x22F,ec4010624130f22f
96,31.4,0x22F,ec4010624130f22f
96,31.3,0x205,ec4010623130e205
96,31.3,0x205,ec4010623130e205
96,31.1,0x2EF,ec4010621130c2ef
96,31.1,0x2EF,ec4010621130c2ef
96,30.9,0x2D5,ec401062903033d5
96,30.9,0x2D5,ec401062903033d5
96,30.8,0x2A0,ec401062803023a0
96,30.8,0x2A0,ec401062803023a0
96,30.5,0x20B,ec4010625030f20b
96,30.5,0x20B,ec4010625030f20b
96,30.3,0x254,ec4010623030d254
96,30.3,0x254,ec4010623030d254
96,30.2,0x221,ec4010622030c221
96,30.2,0x221,ec4010622030c221
96,30.0,0x2CB,ec4010620030a2cb
96,30.0,0x2CB,ec4010620030a2cb
96,29.9,0x209,ec4010629920b309
96,29.9,0x209,ec4010629920b309
96,29.7,0x23D,ec4010627920933d
96,29.7,0x23D,ec4010627920933d
96,29.6,0x248,ec40106269208348
96,29.6,0x248,ec40106269208348
96,29.4,0x2A2,ec401062492063a2
96,29.4,0x2A2,ec401062492063a2
96,29.2,0x2FD,ec401062292043fd
96,29.2,0x2FD,ec401062292043fd
96,29.0,0x217,ec40106209202317
96,29.0,0x217,ec40106209202317
96,28.9,0x258,ec4010629820a358
96,28.9,0x258,ec4010629820a358
96,28.8,0x22D,ec4010628820932d
96,28.8,0x22D,ec4010628820932d
96,28.7,0x26C,ec4010627820836c
96,28.7,0x26C,ec4010627820836c
96,28.5,0x286,ec40106258206386
96,28.5,0x286,ec40106258206386
96,28.4,0x2F3,ec401062482053f3
96,28.4,0x2F3,ec401062482053f3
96,28.3,0x2D9,ec401062382043d9
96,28.3,0x2D9,ec401062382043d9
96,28.2,0x2AC,ec401062282033ac
96,28.2,0x2AC,ec401062282033ac
96,28.1,0x233,ec40106218202333
96,28.1,0x233,ec40106218202333
96,28.0,0x246,ec40106208201346
96,28.0,0x246,ec40106208201346
96,27.9,0x264,ec40106297209364
96,27.9,0x264,ec40106297209364
96,27.8,0x211,ec40106287208311
96,27.8,0x211,ec40106287208311
96,27.6,0x225,ec40106267206325
96,27.6,0x225,ec40106267206325
96,27.5,0x2BA,ec401062572053ba
96,27.5,0x2BA,ec401062572053ba
96,27.5,0x2BA,ec401062572053ba
96,27.5,0x2BA,ec401062572053ba
96,27.3,0x2E5,ec401062372033e5
96,27.3,0x2E5,ec401062372033e5
96,27.2,0x290,ec40106227202390
96,27.2,0x290,ec40106227202390
96,27.1,0x20F,ec4010621720130f
96,27.1,0x20F,ec4010621720130f
96,27.0,0x27A,ec4010620720037a
96,27.0,0x27A,ec4010620720037a
96,26.9,0x235,ec40106296208335
96,26.9,0x235,ec40106296208335
96,26.8,0x240,ec40106286207340
96,26.8,0x240,ec40106286207340
96,26.8,0x240,ec40106286207340
96,26.8,0x240,ec40106286207340
96,26.7,0x201,ec40106276206301
96,26.7,0x201,ec40106276206301
96,26.6,0x274,ec40106266205374
96,26.6,0x274,ec40106266205374
251,21.0,0x8E5,ec401bf8012044e5
251,21.0,0x8E5,ec401bf8012044e5
79,20.9,0x8AA,ec401f48902054aa
79,20.9,0x8AA,ec401f48902054aa
247,20.9,0x8AA,ec4017f8902084aa
247,20.9,0x8AA,ec4017f8902084aa
247,20.9,0x8AA,ec4017f8902084aa
247,20.9,0x8AA,ec4017f8902084aa
247,20.8,0x8DF,ec4017f8802074df
247,20.8,0x8DF,ec4017f8802074df
247,20.7,0x89E,ec4017f87020649e
247,20.7,0x89E,ec4017f87020649e
247,20.5,0x874,ec4017f850204474
247,20.5,0x874,ec4017f850204474
247,20.4,0x801,ec4017f840203401
247,20.4,0x801,ec4017f840203401
247,20.4,0x801,ec4017f840203401
247,20.4,0x801,ec4017f840203401
247,20.3,0x82B,ec4017f83020242b
247,20.3,0x82B,ec4017f83020242b
247,20.3,0x82B,ec4017f83020242b
247,20.3,0x82B,ec4017f83020242b
247,20.3,0x82B,ec4017f83020242b
247,20.3,0x82B,ec4017f83020242b
247,20.2,0x85E,ec4017f82020145e
247,20.2,0x85E,ec4017f82020145e
247,20.2,0x85E,ec4017f82020145e
247,20.2,0x85E,ec4017f82020145e
247,20.2,0x85E,ec4017f82020145e
247,20.2,0x85E,ec4017f82020145e
247,20.1,0x8C1,ec4017f8102004c1
247,20.1,0x8C1,ec4017f8102004c1
