temperatura,device_id,channel,ec40_hex,raw_hex
7.0,247,1,EC4017F10700D3AF,555555559995A5A6AA6A56556AAA56AAAA655A9955
7.5,247,1,EC4017F15700246F,555555559995A5A6AA6A56556A6656AAAA9AA69655
8.0,247,1,EC4017F10800E393,555555559995A5A6AA6A56556AAAA9AAAA955A695A
8.5,247,1,EC4017F158003453,555555559995A5A6AA6A56556A66A9AAAA5AA6665A
9.0,247,1,EC4017F10900F3C2,555555559995A5A6AA6A56556AAA69AAAA555AA59A
9.5,247,1,EC4017F159004402,555555559995A5A6AA6A56556A6669AAAAA6A6AA9A
10.0,247,1,EC4017F100107300,555555559995A5A6AA6A56556AAAAA6AAA565AAAAA
10.5,247,1,EC4017F15010C3C0,555555559995A5A6AA6A56556A66AA6AAAA55AA5AA
11.0,247,1,EC4017F10110834F,555555559995A5A6AA6A56556AAA6A6AAAA95AA655
11.5,247,1,EC4017F15110D38F,555555559995A5A6AA6A56556A666A6AAA655AA955
12.0,247,1,EC4017F1021093BC,555555559995A5A6AA6A56556AAA9A6AAA695A59A5
12.5,247,1,EC4017F15210E37C,555555559995A5A6AA6A56556A669A6AAA955A56A5
13.0,247,1,EC4017F20310B336,555555559995A5A6AA6A56559AAA5A6AAA595A5A96
13.5,247,1,EC4017F2531004F6,555555559995A5A6AA6A56559A665A6AAAAAA65596
14.0,247,1,EC4017F20410C380,555555559995A5A6AA6A56559AAAA66AAAA55AA9AA
14.5,247,1,EC4017F254101440,555555559995A5A6AA6A56559A66A66AAA6AA6A6AA
15.0,247,1,EC4017F10510C30A,555555559995A5A6AA6A56556AAA666AAAA55AAA99
15.5,247,1,EC4017F1551014CA,555555559995A5A6AA6A56556A66666AAA6AA6A599
16.0,247,1,EC4017F10610D3F9,555555559995A5A6AA6A56556AAA966AAA655A5569
16.5,247,1,EC4017F156102439,555555559995A5A6AA6A56556A66966AAA9AA65A69
17.0,247,1,EC4017F10710E3A8,555555559995A5A6AA6A56556AAA566AAA955A99A9
17.5,247,1,EC4017F157103468,555555559995A5A6AA6A56556A66566AAA5AA696A9
18.0,247,1,EC4017F00810E33C,555555559995A5A6AA6A5655AAAAA96AAA955A5AA5
18.5,247,1,EC4017F0581034FC,555555559995A5A6AA6A5655AA66A96AAA5AA655A5
19.0,247,1,EC4017F809107466,555555559995A5A6AA6A5655A9AA696AAA56A69696
19.5,247,1,EC4017F85910C4A6,555555559995A5A6AA6A5655A966696AAAA5A69996
20.0,247,1,EC4017F2002093CC,555555559995A5A6AA6A56559AAAAA9AAA695AA5A5
20.5,247,1,EC4017F25020E30C,555555559995A5A6AA6A56559A66AA9AAA955AAAA5
21.0,247,1,EC4017F101209346,555555559995A5A6AA6A56556AAA6A9AAA695AA696
21.5,247,1,EC4017F15120E386,555555559995A5A6AA6A56556A666A9AAA955AA996
22.0,247,1,EC4017F10220A3B5,555555559995A5A6AA6A56556AAA9A9AAA995A5966
22.5,247,1,EC4017F15220F375,555555559995A5A6AA6A56556A669A9AAA555A5666
23.0,247,1,EC4017F10320B3E4,555555559995A5A6AA6A56556AAA5A9AAA595A95A6
23.5,247,1,EC4017F153200424,555555559995A5A6AA6A56556A665A9AAAAAA69AA6
24.0,247,1,EC4017F10420C352,555555559995A5A6AA6A56556AAAA69AAAA55A669A
24.5,247,1,EC4017F154201492,555555559995A5A6AA6A56556A66A69AAA6AA6699A
25.0,247,1,EC4017F10520D303,555555559995A5A6AA6A56556AAA669AAA655AAA5A
25.5,247,1,EC4017F1552024C3,555555559995A5A6AA6A56556A66669AAA9AA6A55A
26.0,247,1,EC4017F10620E3F0,555555559995A5A6AA6A56556AAA969AAA955A55AA
26.5,247,1,EC4017F156203430,555555559995A5A6AA6A56556A66969AAA5AA65AAA
27.0,247,1,EC4017F10720F3A1,555555559995A5A6AA6A56556AAA569AAA555A996A
27.5,247,1,EC4017F157204461,555555559995A5A6AA6A56556A66569AAAA6A6966A
28.0,247,1,EC4017F208201446,555555559995A5A6AA6A56559AAAA99AAA6AA6A696
28.5,247,1,EC4017F258206486,555555559995A5A6AA6A56559A66A99AAA96A6A996
29.0,247,1,EC4017F1092014CC,555555559995A5A6AA6A56556AAA699AAA6AA6A5A5
29.5,247,1,EC4017F15920640C,555555559995A5A6AA6A56556A66699AAA96A6AAA5
30.0,247,1,EC4017F100309310,555555559995A5A6AA6A56556AAAAA5AAA695A6AAA
30.5,247,1,EC4017F15030E3D0,555555559995A5A6AA6A56556A66AA5AAA955A65AA
31.0,247,1,EC4017F10130A341,555555559995A5A6AA6A56556AAA6A5AAA995AA66A
31.5,247,1,EC4017F15130F381,555555559995A5A6AA6A56556A666A5AAA555AA96A
32.0,247,1,EC4017F10230B3B2,555555559995A5A6AA6A56556AAA9A5AAA595A599A
32.5,247,1,EC4017F152300472,555555559995A5A6AA6A56556A669A5AAAAAA6569A
33.0,247,1,EC4017F10330C3E3,555555559995A5A6AA6A56556AAA5A5AAAA55A955A
33.5,247,1,EC4017F153301423,555555559995A5A6AA6A56556A665A5AAA6AA69A5A
34.0,247,1,EC4017F8043044F6,555555559995A5A6AA6A5655A9AAA65AAAA6A65596
34.5,247,1,EC4017F854309436,555555559995A5A6AA6A5655A966A65AAA69A65A96
35.0,247,1,EC4017F8053054A7,555555559995A5A6AA6A5655A9AA665AAA66A69956
35.5,247,1,EC4017F85530A467,555555559995A5A6AA6A5655A966665AAA99A69656
36.0,247,1,EC4017F806306454,555555559995A5A6AA6A5655A9AA965AAA96A666A6
36.5,247,1,EC4017F85630B494,555555559995A5A6AA6A5655A966965AAA59A669A6
37.0,247,1,EC4017F807307405,555555559995A5A6AA6A5655A9AA565AAA56A6AA66
37.5,247,1,EC4017F85730C4C5,555555559995A5A6AA6A5655A966565AAAA5A6A566
38.0,247,1,EC4017F808308439,555555559995A5A6AA6A5655A9AAA95AAAA9A65A69
38.5,247,1,EC4017F85830D4F9,555555559995A5A6AA6A5655A966A95AAA65A65569
39.0,247,1,EC4017F809309468,555555559995A5A6AA6A5655A9AA695AAA69A696A9
39.5,247,1,EC4017F85930E4A8,555555559995A5A6AA6A5655A966695AAA95A699A9
40.0,247,1,EC4017F8004014C6,555555559995A5A6AA6A5655A9AAAAA6AA6AA6A596
40.5,247,1,EC4017F850406406,555555559995A5A6AA6A5655A966AAA6AA96A6AA96
41.0,247,1,EC4017F801402497,555555559995A5A6AA6A5655A9AA6AA6AA9AA66956
41.5,247,1,EC4017F851407457,555555559995A5A6AA6A5655A9666AA6AA56A66656
42.0,247,1,EC4017F802403464,555555559995A5A6AA6A5655A9AA9AA6AA5AA696A6
42.5,247,1,EC4017F8524084A4,555555559995A5A6AA6A5655A9669AA6AAA9A699A6
43.0,247,1,EC4017F803404435,555555559995A5A6AA6A5655A9AA5AA6AAA6A65A66
43.5,247,1,EC4017F8534094F5,555555559995A5A6AA6A5655A9665AA6AA69A65566
44.0,247,1,EC4017F804405483,555555559995A5A6AA6A5655A9AAA6A6AA66A6A95A
44.5,247,1,EC4017F85440A443,555555559995A5A6AA6A5655A966A6A6AA99A6A65A
45.0,247,1,EC4017F8054064D2,555555559995A5A6AA6A5655A9AA66A6AA96A6659A
45.5,247,1,EC4017F85540B412,555555559995A5A6AA6A5655A96666A6AA59A66A9A
46.0,247,1,EC4017F806407421,555555559995A5A6AA6A5655A9AA96A6AA56A69A6A
46.5,247,1,EC4017F85640C4E1,555555559995A5A6AA6A5655A96696A6AAA5A6956A
47.0,247,1,EC4017F807408470,555555559995A5A6AA6A5655A9AA56A6AAA9A656AA
47.5,247,1,EC4017F85740D4B0,555555559995A5A6AA6A5655A96656A6AA65A659AA
